"duration_in_seconds","response_id","intn","intn_nb","meat_belief","pol","gender","age","norm","framing"
147,"R_12QnGfZTR4cF4ZO",3,5,20,4,"female",20,"dyn","pos"
213,"R_r6dW8HexDnNuOtP",4,5,40,4,"female",19,"stat","pos"
681,"R_3QFyRS37X8kubCi",4,14,30,4,"female",56,"stat","neg"
112,"R_3ezyGYAj0D4HibJ",6,15,65,2,"female",19,"stat","pos"
173,"R_1OPLAVfOYUan8yo",2,15,30,2,"male",56,"dyn","pos"
222,"R_3FOtIeAHOvIQRx0",6,18,40,3,"female",20,"stat","pos"
325,"R_1MYXmwYYA8bPkHD",1,5,20,2,"male",47,"stat","neg"
141,"R_1dhGlVcV8HUQyz8",1,7,30,5,"female",22,"dyn","pos"
136,"R_yUqBdk4AL2CPAjf",5,10,40,5,"female",21,"stat","pos"
1305,"R_1DZT0t95Z91XCgB",2,10,20,2,"male",19,"dyn","neg"
440,"R_3Q0jzHAwRFX6hKY",1,10,40,4,"male",69,"dyn","neg"
102,"R_W6GDgUUkQBrYr3H",5,14,70,2,"female",21,"stat","pos"
191,"R_31gE19gUN8HDBPG",1,16,20,5,"female",22,"dyn","neg"
2526,"R_Ovb6vNNx66qrcKB",1,NA,40,4,"male",19,"stat","neg"
768,"R_3GfzEfGRLsvD77v",4,13,40,2,"female",23,"dyn","neg"
354,"R_3Rz9MZ5rRIkIqBo",5,15,40,3,"female",54,"stat","pos"
203,"R_07mJdqsQlwAeLMl",4,17,15,7,"male",22,"stat","pos"
266,"R_2v1VKrTwnKjkkeV",1,14,25,3,"female",21,"stat","neg"
245,"R_1LNy0vSWIYVzLcI",3,10,30,6,"female",55,"dyn","pos"
249,"R_1r0TdM2MZbrNavC",5,15,30,4,"female",22,"dyn","pos"
984,"R_2flCtpETNmnlDNX",7,14,50,3,"female",20,"dyn","neg"
494,"R_1GvPcvvAqhnMTxO",3,2,10,4,"male",62,"stat","neg"
80,"R_33j1OVYCt6BINna",1,3,5,3,"female",NA,"stat","pos"
181,"R_zbPbIu7N8XdMC65",4,10,20,5,"male",21,"dyn","pos"
256,"R_2w5Gh0VVKyHTQQI",1,0,30,4,"female",NA,"stat","neg"
167,"R_ypRAGwYa807m2Mp",3,5,25,2,"female",19,"dyn","pos"
186,"R_1gu5QESV9bIE6U6",5,15,40,3,"female",21,"dyn","neg"
184,"R_3IVJHUG7grGfa05",3,14,30,4,"female",18,"stat","pos"
151,"R_30iO1gNyqq2LBJY",1,3,40,2,"female",20,"dyn","pos"
521,"R_3qydHOIRhbU093P",6,15,30,1,"female",19,"stat","neg"
867,"R_sSWZBHzXxyY2e4x",1,16,55,4,"female",18,"stat","neg"
188,"R_BQwzKiUD6rBAUMN",5,16,33,3,"male",52,"stat","pos"
431,"R_2ScPzrstuldectJ",4,15,40,4,"female",50,"dyn","neg"
98,"R_2X5xyeyO4aGe5eC",6,7,40,2,"female",20,"dyn","pos"
159,"R_2AGyFqVYVFrNG8h",6,7,30,2,"female",20,"stat","neg"
16574,"R_2q3fUHbx8GTUrnk",1,5,30,4,"female",20,"stat","neg"
1086,"R_1pnGi4b27kqxkUg",2,10,30,4,"female",21,"dyn","neg"
55,"R_xbdUPnh9cT2j2KJ",2,10,30,4,"female",21,"stat","pos"
438,"R_3fwOijBuezG2g6p",5,19,20,5,"male",21,"stat","neg"
63,"R_2c0FvVaKtKlSNkZ",6,16,33,3,"male",52,"dyn","pos"
151,"R_cuSFmMUzP1I71sd",5,5,16,4,"female",19,"stat","pos"
270,"R_1gOoLBfztBUqPjC",4,11,20,2,"female",20,"stat","pos"
478,"R_3QY4erjVCCqivdE",4,10,30,2,"male",46,"dyn","neg"
691,"R_XFeIwXdMNJ82THH",7,13,30,2,"female",20,"dyn","neg"
98,"R_3p5POJotrstYnHN",7,13,30,2,"female",20,"dyn","pos"
817,"R_1Dqkz0EWpEidRdo",5,19,50,5,"female",61,"dyn","neg"
128,"R_2ZBnCIY5Zft6M0c",4,NA,NA,4,"male",62,"dyn","pos"
328,"R_20UO34ezUWJKQRL",3,11,20,4,"male",22,"stat","pos"
240,"R_1CJD9dUCVKTnKpk",2,18,30,5,"male",20,"stat","pos"
86,"R_3s6zP3KwUhHCb8a",5,6,10,1,"female",23,"dyn","pos"
321,"R_1FOPcWtHILTdBuu",7,7,45,5,"female",19,"dyn","neg"
500,"R_2rJFVRHZ9hesPbS",7,12,60,4,"female",18,"stat","pos"
79,"R_vvhAbIk2Fpu1NUR",6,10,20,5,"female",28,"stat","pos"
182,"R_2dYLF9qJ9XJhfqI",2,18,35,4,"male",19,"dyn","neg"
160,"R_3MMdemaL1CmFAGt",4,1,40,4,"female",28,"dyn","pos"
300,"R_1C9YmQ1aoehujAO",4,4,20,3,"female",27,"stat","neg"
383,"R_1EYdhvjZAP6j84H",4,5,25,3,"female",5,"stat","pos"
1621,"R_2zHIEVUmGEK8J58",5,17,30,3,"male",77,"stat","neg"
642,"R_12LkAKKrsXeM1N3",7,10,30,4,"female",56,"dyn","neg"
11268,"R_1jPP8mfR36tWIeQ",3,18,40,3,"female",21,"dyn","pos"
52,"R_Z2W8axWrEc9yJyh",3,18,40,3,"female",21,"stat","pos"
418,"R_2e5B3iBJw38c84S",7,10,30,4,"female",56,"stat","neg"
704,"R_1Lh5EKDlfgT87z4",5,11,30,2,"female",19,"dyn","neg"
596,"R_3iX1uaD83h2wO1a",4,12,32,3,"female",44,"stat","neg"
110,"R_3sBcms1jv1YWvgG",1,4,5,1,"male",19,"dyn","pos"
169,"R_3G2mAbYJ5FxXPXb",4,18,65,3,"female",22,"stat","pos"
443,"R_4GvrwwHbZMrArfz",5,17,40,3,"male",51,"stat","pos"
352,"R_3iC3sNxnMgIjc4O",5,12,40,2,"male",19,"stat","neg"
180,"R_3EyeKIrJQkQWgjz",1,7,10,3,"female",22,"dyn","pos"
179,"R_1H6GXSwX1hOHggD",4,4,35,4,"female",20,"dyn","pos"
283,"R_1mC5ieKUTmhIQiC",1,3,20,4,"female",57,"stat","pos"
596,"R_3qVjm1E0b4x9ESJ",7,14,30,4,"female",56,"stat","neg"
336,"R_1DHmtTe3TuDhdUV",7,14,20,4,"female",56,"dyn","neg"
362,"R_1GUZwfpbpmi5QuL",2,10,35,2,"female",20,"dyn","neg"
102,"R_3JKKMUWK79rc31H",4,7,30,1,"female",25,"dyn","pos"
170,"R_1LXosOyAqt0cYkc",7,7,20,4,"female",56,"dyn","pos"
712,"R_1GE5Ak3ACuqEvtK",1,NA,50,4,"male",46,"stat","pos"
514,"R_1LT0Xdxvoh2Oh0o",4,14,15,3,"female",18,"dyn","neg"
181,"R_3fZAs6BTIG1XsF2",3,14,30,4,"female",47,"stat","pos"
131,"R_3R2yrVLAWUYO2Bi",5,13,30,2,"female",20,"dyn","pos"
47,"R_2EhtODZvkDERTqf",5,13,35,2,"female",20,"stat","pos"
926,"R_11je1p1YEo9BK3E",1,7,10,4,"male",18,"stat","neg"
352,"R_3gNMBfP7ex5K3O1",2,8,30,3,"female",19,"dyn","pos"
94,"R_batYugT2EVx0TMl",4,10,20,2,"female",19,"stat","pos"
290,"R_siAf5GjfJsdUbkJ",3,7,35,2,"male",20,"stat","neg"
145,"R_3LdMJcrJr2x9lNN",2,14,30,1,"male",19,"stat","pos"
119,"R_2pYywayQmSutyhv",1,12,30,3,"male",20,"dyn","pos"
265,"R_21taczMH8nsxmpP",2,7,50,1,"female",19,"dyn","neg"
280,"R_2v8ImbeqVhMswBP",5,2,40,3,"female",20,"stat","neg"
1449,"R_2WGaf4P53XwMIop",6,5,40,4,"female",50,"dyn","neg"
278,"R_T7L58gzJL9Vi15D",1,12,10,3,"male",20,"dyn","pos"
285,"R_3emWvqpOa03R1mx",2,16,30,1,"male",19,"dyn","neg"
373,"R_2vZGf5mCF8ZAEm5",4,17,30,5,"male",52,"dyn","pos"
738,"R_3nNOyyx29WVJuAl",1,11,45,4,"male",23,"stat","pos"
317,"R_3q9hh7pCUIjcnfU",3,8,15,2,"male",19,"dyn","pos"
18564,"R_6xREgfvwuCaZUFX",1,7,25,4,"female",18,"dyn","neg"
112,"R_xhc74fzQGGlx2Jb",1,7,10,3,"male",20,"stat","pos"
590,"R_VJZXuOqM7I7bh7P",4,15,30,3,"female",52,"dyn","neg"
362,"R_UmVSvmSTq41AZS9",4,5,30,3,"female",52,"stat","neg"
42367,"R_cGYxIFZzbBsJWaR",1,15,20,3,"female",NA,"dyn","neg"
440,"R_1NeOwW5xFVMaizW",7,7,25,2,"male",47,"dyn","neg"
